entity_dir,track,level,method,coverage,coverage_never_trained,median_width,mean_diff,gradient
Austropotamobius_torrentium_pooled,combined,10,uncalibrated,0.92621,0.92668,0.32199,0.03166,0.32968
Austropotamobius_torrentium_pooled,combined,10,platt,0.88022,0.8769,0.30482,0.02759,0.77895
Austropotamobius_torrentium_pooled,combined,10,isotonic,0.87744,0.87317,0.27609,0.00922,0.60945
Austropotamobius_torrentium_pooled,combined,20,uncalibrated,0.85184,0.85202,0.32681,0.05348,0.34779
Austropotamobius_torrentium_pooled,combined,20,platt,0.83625,0.83315,0.3184,0.03882,0.45474
Austropotamobius_torrentium_pooled,combined,20,isotonic,0.81292,0.8077,0.27945,0.03908,0.41474
Austropotamobius_torrentium_pooled,combined,3,uncalibrated,0.98408,0.98502,0.33398,0.01071,0.37011
Austropotamobius_torrentium_pooled,combined,3,platt,0.98484,0.98576,0.32092,0.00404,-0.25347
Austropotamobius_torrentium_pooled,combined,3,isotonic,0.96353,0.96329,0.27718,0.00315,-0.10895
Austropotamobius_torrentium_pooled,local_only,10,uncalibrated,0.92268,0.92277,0.33286,0.03362,0.41221
Austropotamobius_torrentium_pooled,local_only,10,platt,0.86456,0.86024,0.30634,0.03003,0.82653
Austropotamobius_torrentium_pooled,local_only,10,isotonic,0.8563,0.85084,0.3327,0.01053,0.4696
Austropotamobius_torrentium_pooled,local_only,20,uncalibrated,0.85049,0.85033,0.34125,0.05582,0.46863
Austropotamobius_torrentium_pooled,local_only,20,platt,0.8392,0.83606,0.33787,0.04302,0.54105
Austropotamobius_torrentium_pooled,local_only,20,isotonic,0.80551,0.79962,0.31929,0.04352,0.30043
Austropotamobius_torrentium_pooled,local_only,3,uncalibrated,0.984,0.98493,0.33956,0.01263,0.45768
Austropotamobius_torrentium_pooled,local_only,3,platt,0.98602,0.98696,0.33173,0.00915,0.45137
Austropotamobius_torrentium_pooled,local_only,3,isotonic,0.95418,0.95228,0.30648,0.01116,0.44514
Austropotamobius_torrentium_pooled,upstream_only,10,uncalibrated,0.97583,0.97702,0.16396,0.02013,0.27034
Austropotamobius_torrentium_pooled,upstream_only,10,platt,0.93952,0.9357,0.09943,0.00519,0.9488
Austropotamobius_torrentium_pooled,upstream_only,10,isotonic,0.90499,0.90118,0.13942,-0.00358,0.52495
Austropotamobius_torrentium_pooled,upstream_only,20,uncalibrated,0.52005,0.5262,0.17188,0.03635,0.27245
Austropotamobius_torrentium_pooled,upstream_only,20,platt,0.96707,0.96817,0.16089,-0.00366,-0.15634
Austropotamobius_torrentium_pooled,upstream_only,20,isotonic,0.95856,0.95897,0.13212,0.00032,0.30935
Austropotamobius_torrentium_pooled,upstream_only,3,uncalibrated,0.99444,0.99491,0.16397,0.00684,0.28217
Austropotamobius_torrentium_pooled,upstream_only,3,platt,0.99436,0.99473,0.17042,0.00341,0.19244
Austropotamobius_torrentium_pooled,upstream_only,3,isotonic,0.99242,0.99288,0.1665,0.00775,-0.25741
Faxonius_limosus_alien,combined,10,uncalibrated,0.90904,0.90548,0.29119,0.02379,0.58439
Faxonius_limosus_alien,combined,10,platt,0.91727,0.9135,0.30733,0.01657,0.63052
Faxonius_limosus_alien,combined,10,isotonic,0.90565,0.90016,0.2948,0.01823,0.4791
Faxonius_limosus_alien,combined,20,uncalibrated,0.83463,0.83431,0.29778,0.0361,0.66417
Faxonius_limosus_alien,combined,20,platt,0.82097,0.81155,0.29546,0.0394,0.76714
Faxonius_limosus_alien,combined,20,isotonic,0.8281,0.82041,0.27986,0.04032,0.66497
Faxonius_limosus_alien,combined,3,uncalibrated,0.97432,0.97407,0.2949,0.01038,0.51957
Faxonius_limosus_alien,combined,3,platt,0.9823,0.98317,0.34107,0.00254,0.20793
Faxonius_limosus_alien,combined,3,isotonic,0.97631,0.97599,0.31729,0.00066,-0.03839
Faxonius_limosus_alien,local_only,10,uncalibrated,0.90754,0.90348,0.27924,0.02064,0.47818
Faxonius_limosus_alien,local_only,10,platt,0.89742,0.88982,0.25229,0.01983,0.7472
Faxonius_limosus_alien,local_only,10,isotonic,0.89542,0.88813,0.24017,0.01931,0.54737
Faxonius_limosus_alien,local_only,20,uncalibrated,0.84206,0.84228,0.27513,0.03151,0.57741
Faxonius_limosus_alien,local_only,20,platt,0.80635,0.79396,0.24215,0.03564,0.70656
Faxonius_limosus_alien,local_only,20,isotonic,0.80002,0.7858,0.22993,0.03451,0.50024
Faxonius_limosus_alien,local_only,3,uncalibrated,0.97407,0.9737,0.29444,0.00876,0.36001
Faxonius_limosus_alien,local_only,3,platt,0.97511,0.97481,0.28494,0.00024,0.24732
Faxonius_limosus_alien,local_only,3,isotonic,0.97113,0.97011,0.27079,-0.0016,-0.12736
Faxonius_limosus_alien,upstream_only,10,uncalibrated,0.54583,0.54438,0.16837,0.01191,0.10031
Faxonius_limosus_alien,upstream_only,10,platt,0.97093,0.96899,0.15034,0.00963,0.4788
Faxonius_limosus_alien,upstream_only,10,isotonic,0.54443,0.54206,0.14968,0.00872,0.16694
Faxonius_limosus_alien,upstream_only,20,uncalibrated,0.51396,0.51607,0.15831,0.02024,0.13789
Faxonius_limosus_alien,upstream_only,20,platt,0.51471,0.51562,0.13124,0.01769,0.26054
Faxonius_limosus_alien,upstream_only,20,isotonic,0.5177,0.51887,0.15439,0.02505,0.01218
Faxonius_limosus_alien,upstream_only,3,uncalibrated,0.98255,0.98051,0.16971,0.00444,0.01959
Faxonius_limosus_alien,upstream_only,3,platt,0.98299,0.98075,0.15192,-0.00706,-0.28956
Faxonius_limosus_alien,upstream_only,3,isotonic,0.9814,0.9789,0.17982,-0.00415,-0.23967
Pacifastacus_leniusculus_alien,combined,10,uncalibrated,0.9043,0.90627,0.21152,0.0289,0.42897
Pacifastacus_leniusculus_alien,combined,10,platt,0.8989,0.89935,0.22824,0.00157,-0.58184
Pacifastacus_leniusculus_alien,combined,10,isotonic,0.84878,0.84842,0.17888,0.02877,0.48834
Pacifastacus_leniusculus_alien,combined,20,uncalibrated,0.85879,0.86624,0.22797,0.04582,0.48398
