entity_dir,track,level,all_n,all_coverage,all_msd_mean,all_msd_median,no_contam_n,no_contam_coverage,no_contam_msd_mean,no_contam_msd_median,no_pool_n,no_pool_coverage,no_pool_msd_mean,no_pool_msd_median,never_trained_n,never_trained_coverage,never_trained_msd_mean,never_trained_msd_median
Faxonius_limosus_alien,combined,20,20052,0.83463,0.01576,0.00985,19357,0.85928,0.01371,0.00737,18231,0.88657,0.01056,0.00406,15686,0.83431,0.01354,0.00938
Faxonius_limosus_alien,combined,3,20052,0.97432,0.00646,0.00137,19947,0.97834,0.00636,0.00117,18231,0.98557,0.00504,-0.00099,16160,0.97407,0.0066,0.00366
Faxonius_limosus_alien,local_only,10,20052,0.90754,0.00685,0.00957,19707,0.92079,0.00636,0.00868,18231,0.95014,0.00444,0.00619,15965,0.90348,0.00639,0.01119
Faxonius_limosus_alien,local_only,20,20052,0.84206,0.01017,0.01276,19357,0.86806,0.00841,0.0107,18231,0.89578,0.00575,0.00789,15686,0.84228,0.00814,0.01274
Faxonius_limosus_alien,local_only,3,20052,0.97407,0.00443,0.00624,19947,0.97839,0.00435,0.00608,18231,0.98618,0.00319,0.00431,16160,0.9737,0.00471,0.00883
Faxonius_limosus_alien,upstream_only,10,20052,0.54583,0.02423,0.01772,19707,0.55346,0.02423,0.01772,18231,0.5766,0.01921,0.01772,15965,0.54438,0.02423,0.01772
Faxonius_limosus_alien,upstream_only,20,20052,0.51396,0.04408,0.03871,19357,0.52921,0.03899,0.03871,18231,0.54874,0.02927,0.03664,15686,0.51607,0.04405,0.03871
Faxonius_limosus_alien,upstream_only,3,20052,0.98255,0.00737,-0.00133,19947,0.98396,0.00737,-0.00133,18231,0.98755,0.00737,-0.00133,16160,0.98051,0.00737,-0.00133
Pacifastacus_leniusculus_alien,combined,10,37449,0.9043,0.00982,0.00157,37071,0.9122,0.00964,0.00123,36569,0.91928,0.00942,0.00087,32947,0.90627,0.00964,0.00202
Pacifastacus_leniusculus_alien,combined,20,37449,0.85879,0.01746,0.00379,36701,0.87395,0.01686,0.00294,36569,0.87621,0.01676,0.00281,32626,0.86624,0.01679,0.00355
Pacifastacus_leniusculus_alien,combined,3,37449,0.96967,0.00308,-0.00228,37336,0.97214,0.00306,-0.00234,36569,0.97618,0.00294,-0.0027,33172,0.96964,0.00305,-0.00171
Pacifastacus_leniusculus_alien,local_only,10,37449,0.90854,0.01421,0.00232,37071,0.9164,0.01396,0.00176,36569,0.92278,0.01364,0.00106,32947,0.91107,0.01406,0.00274
Pacifastacus_leniusculus_alien,local_only,20,37449,0.86381,0.02386,0.00706,36701,0.87861,0.0231,0.00539,36569,0.88091,0.02295,0.00514,32626,0.87069,0.02321,0.00667
Pacifastacus_leniusculus_alien,local_only,3,37449,0.97375,0.00463,-0.0044,37336,0.97608,0.00459,-0.00448,36569,0.98012,0.00441,-0.00504,33172,0.97495,0.00466,-0.00358
Pacifastacus_leniusculus_alien,upstream_only,10,37449,0.62792,0.01358,0.01401,37071,0.63311,0.01278,0.01294,36569,0.63819,0.01198,0.01172,32947,0.63117,0.01327,0.01454
Pacifastacus_leniusculus_alien,upstream_only,20,37449,0.61187,0.02039,0.01955,36701,0.62189,0.01841,0.01662,36569,0.62362,0.0181,0.01615,32626,0.61865,0.01903,0.01838
Pacifastacus_leniusculus_alien,upstream_only,3,37449,0.99426,0.00514,6e-05,37336,0.99483,0.00503,6e-05,36569,0.99538,0.00455,6e-05,33172,0.99427,0.00526,6e-05
Pontastacus_leptodactylus_pooled,combined,10,22945,0.96309,0.00721,0.01827,22826,0.96592,0.0071,0.01805,22441,0.96645,0.00701,0.01796,21339,0.96363,0.00747,0.01958
Pontastacus_leptodactylus_pooled,combined,20,22945,0.91732,0.01261,0.02474,22722,0.9221,0.01232,0.02427,22441,0.92322,0.01224,0.02421,21239,0.91699,0.01286,0.02614
Pontastacus_leptodactylus_pooled,combined,3,22945,0.98823,0.0019,0.01162,22911,0.98887,0.00187,0.01158,22441,0.98886,0.00185,0.01157,21416,0.98814,0.00192,0.01283
