entity_dir,track,level,method,source,coverage,gradient,mean_diff
Austropotamobius_fulcisianus_pooled,combined,3,isotonic,null,0.99598,-0.14838,-0.00037
Austropotamobius_fulcisianus_pooled,combined,10,isotonic,contaminated,0.98005,0.35264,0.01533
Austropotamobius_fulcisianus_pooled,combined,10,isotonic,null,0.99519,-0.01166,3e-05
Austropotamobius_fulcisianus_pooled,combined,20,isotonic,contaminated,0.96341,0.35539,0.02098
Austropotamobius_fulcisianus_pooled,combined,20,isotonic,null,0.99006,0.03962,-0.00383
Austropotamobius_fulcisianus_pooled,local_only,3,uncalibrated,contaminated,0.99558,0.30999,0.00862
Austropotamobius_fulcisianus_pooled,local_only,3,uncalibrated,null,0.9974,0.30295,-0.00046
Austropotamobius_fulcisianus_pooled,local_only,10,uncalibrated,contaminated,0.98786,0.45347,0.02092
Austropotamobius_fulcisianus_pooled,local_only,10,uncalibrated,null,0.9974,0.37667,0.00018
Austropotamobius_fulcisianus_pooled,local_only,20,uncalibrated,contaminated,0.97059,0.54417,0.02729
Austropotamobius_fulcisianus_pooled,local_only,20,uncalibrated,null,0.99535,0.31994,-0.00256
Austropotamobius_fulcisianus_pooled,local_only,3,platt,contaminated,0.9959,0.36282,0.00731
Austropotamobius_fulcisianus_pooled,local_only,3,platt,null,0.99882,0.50201,-0.0005
Austropotamobius_fulcisianus_pooled,local_only,10,platt,contaminated,0.98754,0.42548,0.01577
Austropotamobius_fulcisianus_pooled,local_only,10,platt,null,0.99842,0.53749,7e-05
Austropotamobius_fulcisianus_pooled,local_only,20,platt,contaminated,0.97524,0.50119,0.02073
Austropotamobius_fulcisianus_pooled,local_only,20,platt,null,0.99614,0.48668,-0.00241
Austropotamobius_fulcisianus_pooled,local_only,3,isotonic,contaminated,0.99464,-0.12795,0.00714
Austropotamobius_fulcisianus_pooled,local_only,3,isotonic,null,0.99756,-0.15699,-0.00046
Austropotamobius_fulcisianus_pooled,local_only,10,isotonic,contaminated,0.97879,0.20644,0.01838
Austropotamobius_fulcisianus_pooled,local_only,10,isotonic,null,0.99716,-0.09448,0.00026
Austropotamobius_fulcisianus_pooled,local_only,20,isotonic,contaminated,0.96546,0.31595,0.02415
Austropotamobius_fulcisianus_pooled,local_only,20,isotonic,null,0.99551,-0.03666,-0.00187
Austropotamobius_fulcisianus_pooled,upstream_only,3,uncalibrated,contaminated,0.99716,-0.30656,-0.0009
Austropotamobius_fulcisianus_pooled,upstream_only,3,uncalibrated,null,0.99827,-0.22881,-0.00127
Austropotamobius_fulcisianus_pooled,upstream_only,10,uncalibrated,contaminated,0.98462,0.2483,0.00335
