bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
2,2912,0.98764,0.99038,Astacus_astacus,upstream_only,3,all
3,2912,1.0,1.0,Astacus_astacus,upstream_only,3,all
4,2913,0.50841,0.54892,Astacus_astacus,upstream_only,3,all
0,2493,0.89611,0.3578,Astacus_astacus,upstream_only,3,never_trained
1,2492,0.73917,0.46188,Astacus_astacus,upstream_only,3,never_trained
2,2492,1.0,1.0,Astacus_astacus,upstream_only,3,never_trained
3,2492,1.0,1.0,Astacus_astacus,upstream_only,3,never_trained
4,2493,0.49258,0.54152,Astacus_astacus,upstream_only,3,never_trained
0,2537,0.97477,0.75641,Austropotamobius_fulcisianus_pooled,combined,10,all
1,2536,0.9791,0.71767,Austropotamobius_fulcisianus_pooled,combined,10,all
2,2536,0.88249,0.67705,Austropotamobius_fulcisianus_pooled,combined,10,all
3,2536,0.66956,0.63565,Austropotamobius_fulcisianus_pooled,combined,10,all
4,2536,0.54495,0.59621,Austropotamobius_fulcisianus_pooled,combined,10,all
0,2378,0.97561,0.76451,Austropotamobius_fulcisianus_pooled,combined,10,never_trained
1,2378,0.97981,0.71909,Austropotamobius_fulcisianus_pooled,combined,10,never_trained
2,2377,0.88725,0.68363,Austropotamobius_fulcisianus_pooled,combined,10,never_trained
3,2378,0.67199,0.64298,Austropotamobius_fulcisianus_pooled,combined,10,never_trained
4,2378,0.54163,0.5799,Austropotamobius_fulcisianus_pooled,combined,10,never_trained
0,2537,0.97872,0.76941,Austropotamobius_fulcisianus_pooled,combined,20,all
1,2536,0.96057,0.74054,Austropotamobius_fulcisianus_pooled,combined,20,all
2,2536,0.8336,0.69716,Austropotamobius_fulcisianus_pooled,combined,20,all
3,2536,0.64629,0.63249,Austropotamobius_fulcisianus_pooled,combined,20,all
4,2536,0.51538,0.57965,Austropotamobius_fulcisianus_pooled,combined,20,all
0,2368,0.98226,0.77998,Austropotamobius_fulcisianus_pooled,combined,20,never_trained
1,2367,0.96198,0.7406,Austropotamobius_fulcisianus_pooled,combined,20,never_trained
2,2367,0.84242,0.70469,Austropotamobius_fulcisianus_pooled,combined,20,never_trained
3,2367,0.64935,0.63921,Austropotamobius_fulcisianus_pooled,combined,20,never_trained
4,2367,0.50317,0.55471,Austropotamobius_fulcisianus_pooled,combined,20,never_trained
0,2537,0.69649,0.34292,Austropotamobius_fulcisianus_pooled,combined,3,all
1,2536,0.74487,0.35844,Austropotamobius_fulcisianus_pooled,combined,3,all
2,2536,0.70978,0.42074,Austropotamobius_fulcisianus_pooled,combined,3,all
3,2536,0.5903,0.52603,Austropotamobius_fulcisianus_pooled,combined,3,all
4,2536,0.52208,0.57334,Austropotamobius_fulcisianus_pooled,combined,3,all
0,2385,0.68889,0.34759,Austropotamobius_fulcisianus_pooled,combined,3,never_trained
1,2385,0.73836,0.36143,Austropotamobius_fulcisianus_pooled,combined,3,never_trained
2,2385,0.71572,0.42725,Austropotamobius_fulcisianus_pooled,combined,3,never_trained
3,2385,0.59455,0.53795,Austropotamobius_fulcisianus_pooled,combined,3,never_trained
4,2385,0.52411,0.56184,Austropotamobius_fulcisianus_pooled,combined,3,never_trained
0,2537,0.99488,0.91013,Austropotamobius_fulcisianus_pooled,local_only,10,all
1,2536,0.98147,0.67547,Austropotamobius_fulcisianus_pooled,local_only,10,all
2,2536,0.94401,0.47161,Austropotamobius_fulcisianus_pooled,local_only,10,all
3,2536,0.79101,0.5761,Austropotamobius_fulcisianus_pooled,local_only,10,all
4,2536,0.5414,0.61041,Austropotamobius_fulcisianus_pooled,local_only,10,all
0,2378,0.99495,0.91127,Austropotamobius_fulcisianus_pooled,local_only,10,never_trained
1,2378,0.98318,0.67998,Austropotamobius_fulcisianus_pooled,local_only,10,never_trained
2,2377,0.94783,0.47413,Austropotamobius_fulcisianus_pooled,local_only,10,never_trained
3,2378,0.79899,0.58957,Austropotamobius_fulcisianus_pooled,local_only,10,never_trained
4,2378,0.53995,0.60093,Austropotamobius_fulcisianus_pooled,local_only,10,never_trained
0,2537,0.99527,0.94363,Austropotamobius_fulcisianus_pooled,local_only,20,all
1,2536,0.98344,0.75355,Austropotamobius_fulcisianus_pooled,local_only,20,all
2,2536,0.94874,0.53785,Austropotamobius_fulcisianus_pooled,local_only,20,all
3,2536,0.69795,0.55323,Austropotamobius_fulcisianus_pooled,local_only,20,all
4,2536,0.4511,0.54298,Austropotamobius_fulcisianus_pooled,local_only,20,all
0,2368,0.99535,0.94468,Austropotamobius_fulcisianus_pooled,local_only,20,never_trained
1,2367,0.98352,0.75708,Austropotamobius_fulcisianus_pooled,local_only,20,never_trained
2,2367,0.95395,0.54246,Austropotamobius_fulcisianus_pooled,local_only,20,never_trained
3,2367,0.7068,0.56316,Austropotamobius_fulcisianus_pooled,local_only,20,never_trained
4,2367,0.44022,0.52725,Austropotamobius_fulcisianus_pooled,local_only,20,never_trained
0,2537,0.8652,0.58573,Austropotamobius_fulcisianus_pooled,local_only,3,all
1,2536,0.73186,0.35726,Austropotamobius_fulcisianus_pooled,local_only,3,all
2,2536,0.75394,0.32295,Austropotamobius_fulcisianus_pooled,local_only,3,all
3,2536,0.67784,0.46451,Austropotamobius_fulcisianus_pooled,local_only,3,all
4,2536,0.55521,0.59424,Austropotamobius_fulcisianus_pooled,local_only,3,all
0,2385,0.86751,0.59623,Austropotamobius_fulcisianus_pooled,local_only,3,never_trained
1,2385,0.73711,0.36017,Austropotamobius_fulcisianus_pooled,local_only,3,never_trained
2,2385,0.75723,0.32746,Austropotamobius_fulcisianus_pooled,local_only,3,never_trained
3,2385,0.6826,0.48008,Austropotamobius_fulcisianus_pooled,local_only,3,never_trained
