cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Austropotamobius_torrentium_pooled__consensus__local_only__benchmark__L0,random_forest,0.1618,0.06089,0.19813,1.14953,0.18104,0.0992,0.07635,0.79028,0.1991,0.12099,0.10751,0.48053,Austropotamobius_torrentium_pooled,local_only,0
Austropotamobius_torrentium_pooled__consensus__local_only__benchmark__L0,xgboost,0.18062,0.14433,-0.04115,0.40968,0.16625,0.02966,-0.00429,0.89581,0.17805,0.06359,0.1115,0.62709,Austropotamobius_torrentium_pooled,local_only,0
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L10,glm,0.21128,0.05446,0.01955,0.62772,0.27619,0.17322,0.00288,0.03281,0.26304,0.1622,0.01058,0.10008,Austropotamobius_torrentium_pooled,local_only,10
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L10,gam,0.2506,0.1076,0.01882,0.27415,0.34275,0.33776,0.02766,-0.45378,0.35841,0.34896,-0.00552,-0.16856,Austropotamobius_torrentium_pooled,local_only,10
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L10,random_forest,0.22884,0.06466,-0.1803,0.64315,0.3114,0.25258,0.00446,-0.11585,0.32718,0.32997,0.00031,-0.00367,Austropotamobius_torrentium_pooled,local_only,10
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L10,xgboost,0.25015,0.21064,-0.46402,0.33926,0.25507,0.1105,0.01443,0.34065,0.25671,0.12628,0.0247,0.28388,Austropotamobius_torrentium_pooled,local_only,10
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L20,glm,0.21638,0.03162,0.01135,0.87434,0.24755,0.09808,0.06173,0.48645,0.24809,0.10306,0.04323,0.37764,Austropotamobius_torrentium_pooled,local_only,20
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L20,gam,0.24038,0.07966,0.03111,0.27345,0.29082,0.22214,-0.0734,-0.3717,0.299,0.20381,-0.03187,-0.09383,Austropotamobius_torrentium_pooled,local_only,20
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L20,random_forest,0.18292,0.04002,0.0922,1.21583,0.19441,0.06256,0.1009,0.93273,0.20814,0.13328,0.16246,0.62037,Austropotamobius_torrentium_pooled,local_only,20
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L20,xgboost,0.20136,0.14736,-0.07559,0.39656,0.17979,0.02763,0.02199,0.94322,0.18917,0.07213,0.12578,0.48344,Austropotamobius_torrentium_pooled,local_only,20
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L3,glm,0.21067,0.06019,0.0331,0.77772,0.25087,0.08905,0.08608,0.38895,0.24315,0.12456,0.07944,0.38946,Austropotamobius_torrentium_pooled,local_only,3
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L3,gam,0.23086,0.07894,0.10053,0.43199,0.2803,0.22544,0.0323,0.11588,0.30544,0.24296,0.01774,0.01875,Austropotamobius_torrentium_pooled,local_only,3
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L3,random_forest,0.17032,0.04832,0.19823,1.15115,0.18682,0.06968,0.08393,0.87331,0.20711,0.12399,0.13257,0.55624,Austropotamobius_torrentium_pooled,local_only,3
Austropotamobius_torrentium_pooled__consensus__local_only__lowacc__L3,xgboost,0.18659,0.15694,-0.12167,0.40567,0.16697,0.04378,-0.02025,0.93284,0.17546,0.06632,0.0721,0.61847,Austropotamobius_torrentium_pooled,local_only,3
Austropotamobius_torrentium_pooled__consensus__upstream_only__benchmark__L0,glm,0.30264,0.23502,0.02891,0.02021,0.31681,0.30565,-0.24209,-0.94098,0.31832,0.32798,-0.00832,-0.05829,Austropotamobius_torrentium_pooled,upstream_only,0
Austropotamobius_torrentium_pooled__consensus__upstream_only__benchmark__L0,gam,0.36604,0.31358,-0.03908,-0.03795,0.32491,0.31678,-0.31132,-0.98619,0.32477,0.33121,-0.07844,-0.35367,Austropotamobius_torrentium_pooled,upstream_only,0
Austropotamobius_torrentium_pooled__consensus__upstream_only__benchmark__L0,random_forest,0.20344,0.14186,0.43915,0.91201,0.23625,0.10915,0.10588,0.5129,0.25919,0.18339,0.06082,0.12976,Austropotamobius_torrentium_pooled,upstream_only,0
Austropotamobius_torrentium_pooled__consensus__upstream_only__benchmark__L0,xgboost,0.21406,0.1619,0.12022,0.38758,0.22081,0.11556,0.10337,0.68596,0.22701,0.14145,0.06315,0.2803,Austropotamobius_torrentium_pooled,upstream_only,0
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L10,glm,0.31437,0.30153,-0.02337,-0.05539,0.34283,0.37076,-0.00425,-1.59088,0.37709,0.3955,0.07827,-0.50067,Austropotamobius_torrentium_pooled,upstream_only,10
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L10,gam,0.39789,0.39956,-0.06244,-0.11135,0.35882,0.37157,0.21484,-1.52216,0.44558,0.45026,0.2501,-0.46466,Austropotamobius_torrentium_pooled,upstream_only,10
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L10,random_forest,0.2396,0.07346,-0.01511,0.55447,0.32262,0.29622,-0.00077,-0.34805,0.34888,0.35043,0.00079,-0.00172,Austropotamobius_torrentium_pooled,upstream_only,10
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L10,xgboost,0.29602,0.27248,-0.16781,0.21852,0.32801,0.30534,0.01197,-0.50466,0.32059,0.27895,-0.00424,-0.02718,Austropotamobius_torrentium_pooled,upstream_only,10
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L20,glm,0.27272,0.18559,0.00021,0.03018,0.30176,0.3255,-0.24007,-1.72105,0.3122,0.30712,-0.06465,-0.49134,Austropotamobius_torrentium_pooled,upstream_only,20
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L20,gam,0.33811,0.3032,-0.05735,-0.04732,0.3118,0.34312,-0.30371,-1.45565,0.3272,0.35877,-0.1058,-0.29747,Austropotamobius_torrentium_pooled,upstream_only,20
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L20,random_forest,0.20554,0.10041,0.23287,1.12293,0.22568,0.12519,0.08657,0.76016,0.22427,0.09782,0.11873,0.33626,Austropotamobius_torrentium_pooled,upstream_only,20
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L20,xgboost,0.22734,0.17747,-0.04055,0.40584,0.21588,0.13269,0.04235,0.88022,0.2098,0.11861,0.05082,0.36638,Austropotamobius_torrentium_pooled,upstream_only,20
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L3,glm,0.29018,0.20867,0.05948,0.06373,0.31726,0.29417,-0.18997,-0.69449,0.30933,0.31468,0.00622,-0.01765,Austropotamobius_torrentium_pooled,upstream_only,3
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L3,gam,0.36248,0.33118,-0.0656,-0.06408,0.31648,0.30403,-0.30736,-1.22626,0.32089,0.32112,-0.00611,-0.07837,Austropotamobius_torrentium_pooled,upstream_only,3
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L3,random_forest,0.20646,0.13406,0.38736,0.91469,0.2354,0.08996,0.10174,0.58714,0.25568,0.22126,0.13249,0.20889,Austropotamobius_torrentium_pooled,upstream_only,3
Austropotamobius_torrentium_pooled__consensus__upstream_only__lowacc__L3,xgboost,0.22065,0.16936,0.127,0.38875,0.22212,0.11491,0.10368,0.72478,0.22188,0.17924,0.14652,0.40281,Austropotamobius_torrentium_pooled,upstream_only,3
Faxonius_limosus_alien__consensus__combined__benchmark__L0,glm,0.2343,0.04527,-0.09517,0.7358,0.23477,0.02335,-0.00295,0.91004,0.23486,0.01603,-0.00228,0.76453,Faxonius_limosus_alien,combined,0
Faxonius_limosus_alien__consensus__combined__benchmark__L0,gam,0.23194,0.06232,0.14919,0.1897,0.23917,0.06923,0.11484,0.23743,0.231,0.04196,0.12147,0.16025,Faxonius_limosus_alien,combined,0
Faxonius_limosus_alien__consensus__combined__benchmark__L0,random_forest,0.18482,0.05108,0.03018,1.27949,0.18622,0.01858,-0.0087,0.93765,0.18686,0.03286,-0.00648,0.80996,Faxonius_limosus_alien,combined,0
Faxonius_limosus_alien__consensus__combined__benchmark__L0,xgboost,0.19308,0.07779,0.09813,0.58367,0.18999,0.0454,0.01431,0.92514,0.19092,0.03482,0.01813,0.86651,Faxonius_limosus_alien,combined,0
Faxonius_limosus_alien__consensus__combined__lowacc__L10,glm,0.23793,0.04686,-0.08163,0.71943,0.23931,0.03314,0.00136,0.83083,0.23869,0.0226,0.00075,0.64378,Faxonius_limosus_alien,combined,10
Faxonius_limosus_alien__consensus__combined__lowacc__L10,gam,0.23473,0.06014,0.14657,0.26175,0.23934,0.06136,0.11203,0.29662,0.23715,0.04696,0.12295,0.10359,Faxonius_limosus_alien,combined,10
Faxonius_limosus_alien__consensus__combined__lowacc__L10,random_forest,0.19969,0.03461,-0.05301,1.20368,0.20249,0.02211,-0.00945,0.92254,0.20317,0.02701,-0.00704,0.83585,Faxonius_limosus_alien,combined,10
Faxonius_limosus_alien__consensus__combined__lowacc__L10,xgboost,0.21178,0.08631,-0.00843,0.57229,0.20617,0.03188,0.01025,0.92582,0.20608,0.01894,0.00334,0.8549,Faxonius_limosus_alien,combined,10
Faxonius_limosus_alien__consensus__combined__lowacc__L20,glm,0.25165,0.06325,-0.04511,0.40222,0.25188,0.03002,0.00252,0.30855,0.2543,0.06567,0.01203,0.00822,Faxonius_limosus_alien,combined,20
Faxonius_limosus_alien__consensus__combined__lowacc__L20,gam,0.24236,0.06659,0.1347,0.23665,0.24818,0.05663,0.10429,0.26632,0.24735,0.08045,0.11712,0.09563,Faxonius_limosus_alien,combined,20
Faxonius_limosus_alien__consensus__combined__lowacc__L20,random_forest,0.20325,0.02882,0.02268,1.11156,0.20633,0.02211,-0.02366,0.94849,0.20746,0.03219,-0.01942,0.87001,Faxonius_limosus_alien,combined,20
Faxonius_limosus_alien__consensus__combined__lowacc__L20,xgboost,0.21024,0.07709,0.05648,0.59138,0.20698,0.03556,0.00015,0.92724,0.20652,0.04898,-0.002,0.87337,Faxonius_limosus_alien,combined,20
Faxonius_limosus_alien__consensus__combined__lowacc__L3,glm,0.2324,0.03982,-0.08275,0.78641,0.23353,0.03409,0.00047,0.89659,0.23429,0.0197,-0.00157,0.74544,Faxonius_limosus_alien,combined,3
Faxonius_limosus_alien__consensus__combined__lowacc__L3,gam,0.23512,0.06327,0.14713,0.19157,0.2414,0.06185,0.11516,0.22372,0.23751,0.04232,0.1178,0.10127,Faxonius_limosus_alien,combined,3
Faxonius_limosus_alien__consensus__combined__lowacc__L3,random_forest,0.18752,0.04919,0.01841,1.268,0.18873,0.02304,-0.0088,0.94472,0.18855,0.02706,-0.00764,0.87194,Faxonius_limosus_alien,combined,3
Faxonius_limosus_alien__consensus__combined__lowacc__L3,xgboost,0.18657,0.05135,0.02331,0.71498,0.18606,0.01556,-0.00576,0.96469,0.18683,0.02191,-0.00106,0.89421,Faxonius_limosus_alien,combined,3
Faxonius_limosus_alien__consensus__local_only__benchmark__L0,glm,0.2231,0.03251,0.02586,0.81336,0.2279,0.03714,0.00458,0.83857,0.22577,0.02506,-0.00302,0.83394,Faxonius_limosus_alien,local_only,0
Faxonius_limosus_alien__consensus__local_only__benchmark__L0,gam,0.21714,0.02341,0.00795,0.84207,0.22154,0.01839,-0.00439,0.88619,0.22198,0.02394,-0.00475,0.83408,Faxonius_limosus_alien,local_only,0
Faxonius_limosus_alien__consensus__local_only__benchmark__L0,random_forest,0.18661,0.04655,0.03149,1.24007,0.18823,0.0242,-0.00938,0.94109,0.18904,0.0319,-0.00426,0.835,Faxonius_limosus_alien,local_only,0
Faxonius_limosus_alien__consensus__local_only__benchmark__L0,xgboost,0.19127,0.07306,0.11149,0.59145,0.18881,0.05119,0.01395,0.92411,0.18868,0.04363,0.01615,0.87165,Faxonius_limosus_alien,local_only,0
Faxonius_limosus_alien__consensus__local_only__lowacc__L10,glm,0.22649,0.02758,0.02898,0.80374,0.23206,0.03161,0.00066,0.80526,0.23044,0.02931,-0.00778,0.79556,Faxonius_limosus_alien,local_only,10
Faxonius_limosus_alien__consensus__local_only__lowacc__L10,gam,0.22335,0.02752,0.00928,0.79352,0.22859,0.01694,-0.00583,0.82837,0.22907,0.04063,-0.00431,0.77388,Faxonius_limosus_alien,local_only,10
Faxonius_limosus_alien__consensus__local_only__lowacc__L10,random_forest,0.20133,0.03035,-0.04602,1.15169,0.20428,0.01716,-0.00924,0.92729,0.2051,0.03391,-0.00701,0.87023,Faxonius_limosus_alien,local_only,10
Faxonius_limosus_alien__consensus__local_only__lowacc__L10,xgboost,0.21304,0.08726,0.02524,0.53407,0.20833,0.04527,0.02597,0.88569,0.20679,0.03008,0.01337,0.83644,Faxonius_limosus_alien,local_only,10
Faxonius_limosus_alien__consensus__local_only__lowacc__L20,glm,0.22735,0.02777,0.03697,0.83021,0.23278,0.01865,-0.00099,0.8128,0.23129,0.02247,-0.00517,0.80071,Faxonius_limosus_alien,local_only,20
Faxonius_limosus_alien__consensus__local_only__lowacc__L20,gam,0.22721,0.02637,0.02403,0.73453,0.23211,0.01805,-0.01004,0.8173,0.23325,0.04571,-0.00538,0.77347,Faxonius_limosus_alien,local_only,20
Faxonius_limosus_alien__consensus__local_only__lowacc__L20,random_forest,0.20373,0.03158,0.02471,1.09609,0.20694,0.02048,-0.02383,0.94614,0.20711,0.02892,-0.01896,0.88575,Faxonius_limosus_alien,local_only,20
Faxonius_limosus_alien__consensus__local_only__lowacc__L20,xgboost,0.21249,0.08147,0.06706,0.57154,0.20883,0.03086,1e-05,0.91843,0.20835,0.01578,-0.00785,0.87138,Faxonius_limosus_alien,local_only,20
Faxonius_limosus_alien__consensus__local_only__lowacc__L3,glm,0.22563,0.02114,0.01772,0.7794,0.22853,0.02827,-0.00201,0.91386,0.22807,0.02219,-0.0035,0.81922,Faxonius_limosus_alien,local_only,3
Faxonius_limosus_alien__consensus__local_only__lowacc__L3,gam,0.22092,0.02467,0.00843,0.80999,0.22305,0.01571,-0.00657,0.92918,0.22337,0.01634,-0.00317,0.83288,Faxonius_limosus_alien,local_only,3
Faxonius_limosus_alien__consensus__local_only__lowacc__L3,random_forest,0.18822,0.04991,0.01079,1.26441,0.1893,0.02591,-0.00881,0.94874,0.18991,0.02589,-0.00808,0.89232,Faxonius_limosus_alien,local_only,3
Faxonius_limosus_alien__consensus__local_only__lowacc__L3,xgboost,0.18922,0.05569,0.02834,0.69747,0.18817,0.01445,-0.00376,0.96144,0.18915,0.02007,0.00218,0.89528,Faxonius_limosus_alien,local_only,3
Faxonius_limosus_alien__consensus__upstream_only__benchmark__L0,glm,0.24105,0.05152,0.01818,0.74856,0.24361,0.01733,-0.01036,0.80316,0.24075,0.05197,-0.03028,0.77852,Faxonius_limosus_alien,upstream_only,0
Faxonius_limosus_alien__consensus__upstream_only__benchmark__L0,gam,0.23905,0.05748,-0.015,0.35538,0.24445,0.02488,-0.01042,0.43857,0.24081,0.0703,-0.02144,0.29946,Faxonius_limosus_alien,upstream_only,0
Faxonius_limosus_alien__consensus__upstream_only__benchmark__L0,random_forest,0.20435,0.05603,0.08573,1.20222,0.2069,0.05319,-0.01627,0.93225,0.20719,0.04453,-0.01255,0.83436,Faxonius_limosus_alien,upstream_only,0
Faxonius_limosus_alien__consensus__upstream_only__benchmark__L0,xgboost,0.21076,0.08609,0.02223,0.58282,0.20892,0.04497,-0.00259,0.94186,0.21225,0.05376,-0.03472,0.804,Faxonius_limosus_alien,upstream_only,0
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L10,glm,0.24295,0.03975,0.01639,0.7023,0.24586,0.01347,-0.00932,0.71547,0.24457,0.02945,-0.02068,0.64719,Faxonius_limosus_alien,upstream_only,10
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L10,gam,0.24284,0.03809,0.01525,0.15059,0.25057,0.01423,0.009,0.04832,0.247,0.04716,-0.03032,0.55995,Faxonius_limosus_alien,upstream_only,10
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L10,random_forest,0.21173,0.02392,0.02862,1.1645,0.21447,0.04028,-0.01618,0.92865,0.21521,0.0417,-0.00718,0.83837,Faxonius_limosus_alien,upstream_only,10
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L10,xgboost,0.22017,0.07102,-0.01969,0.58046,0.21681,0.03522,-0.0051,0.94513,0.2161,0.01274,-0.00895,0.82446,Faxonius_limosus_alien,upstream_only,10
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L20,glm,0.24268,0.03028,0.02577,0.60676,0.24732,0.02808,-0.00325,0.50618,0.24608,0.04286,-0.0286,0.53102,Faxonius_limosus_alien,upstream_only,20
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L20,gam,0.24381,0.03248,0.02,0.4331,0.24869,0.02972,0.0015,0.3956,0.24614,0.04843,-0.00177,0.29262,Faxonius_limosus_alien,upstream_only,20
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L20,random_forest,0.21566,0.01882,0.05042,1.13326,0.21835,0.01188,-0.02157,0.9436,0.22045,0.02763,-0.03302,0.82081,Faxonius_limosus_alien,upstream_only,20
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L20,xgboost,0.2224,0.05238,0.022,0.59607,0.22005,0.01754,-0.0155,0.94804,0.21981,0.01081,-0.01556,0.86406,Faxonius_limosus_alien,upstream_only,20
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L3,glm,0.24149,0.04827,-0.00628,0.55558,0.2448,0.04594,-0.0117,0.63686,0.2429,0.03605,-0.03744,0.68451,Faxonius_limosus_alien,upstream_only,3
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L3,gam,0.23919,0.0397,-0.01686,0.54203,0.24256,0.02246,-0.0135,0.68747,0.24376,0.0526,-0.03397,0.61608,Faxonius_limosus_alien,upstream_only,3
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L3,random_forest,0.20392,0.0402,0.05431,1.23098,0.20577,0.04352,-0.01533,0.9418,0.20834,0.04743,0.01442,0.8327,Faxonius_limosus_alien,upstream_only,3
Faxonius_limosus_alien__consensus__upstream_only__lowacc__L3,xgboost,0.20609,0.06838,-0.04221,0.6601,0.20584,0.03985,-0.00996,0.94808,0.20456,0.04275,-0.00972,0.90505,Faxonius_limosus_alien,upstream_only,3
Pacifastacus_leniusculus_alien__consensus__combined__benchmark__L0,glm,0.18925,0.06581,-0.0417,0.44389,0.20973,0.13323,-0.01598,0.59306,0.19812,0.10707,-0.02306,0.3045,Pacifastacus_leniusculus_alien,combined,0
Pacifastacus_leniusculus_alien__consensus__combined__benchmark__L0,gam,0.18014,0.04335,-0.09161,0.50353,0.19863,0.10587,-0.02141,0.57539,0.19647,0.0959,-0.04951,0.32553,Pacifastacus_leniusculus_alien,combined,0
Pacifastacus_leniusculus_alien__consensus__combined__benchmark__L0,random_forest,0.14356,0.10827,-0.19758,1.69674,0.15207,0.08659,-0.17593,0.82326,0.15153,0.09127,-0.22135,0.8003,Pacifastacus_leniusculus_alien,combined,0
Pacifastacus_leniusculus_alien__consensus__combined__benchmark__L0,xgboost,0.11314,0.02976,0.11839,0.76133,0.12113,0.04887,-0.10533,0.94738,0.11851,0.05242,-0.06324,0.6567,Pacifastacus_leniusculus_alien,combined,0
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L10,glm,0.19661,0.05871,-0.0639,0.78497,0.22257,0.11224,-0.1124,0.70977,0.21425,0.10034,-0.09262,0.69309,Pacifastacus_leniusculus_alien,combined,10
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L10,gam,0.18646,0.03225,-0.09389,0.83047,0.2024,0.07337,-0.11167,0.89241,0.21371,0.1194,-0.0874,0.58658,Pacifastacus_leniusculus_alien,combined,10
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L10,random_forest,0.15903,0.10554,-0.25824,1.63375,0.16229,0.08229,-0.14045,0.85285,0.15923,0.08649,-0.15737,0.85444,Pacifastacus_leniusculus_alien,combined,10
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L10,xgboost,0.14233,0.04798,-0.0476,0.70225,0.15553,0.09739,-0.09269,0.80014,0.15029,0.06905,-0.10011,0.70265,Pacifastacus_leniusculus_alien,combined,10
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L20,glm,0.19933,0.03166,-0.01696,0.95424,0.2215,0.10288,-0.09788,0.70462,0.22856,0.12413,-0.08326,0.61204,Pacifastacus_leniusculus_alien,combined,20
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L20,gam,0.19211,0.03303,-0.12598,0.89617,0.2147,0.08024,-0.08302,0.77295,0.2265,0.11405,-0.09068,0.57299,Pacifastacus_leniusculus_alien,combined,20
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L20,random_forest,0.16555,0.09617,-0.26597,1.53249,0.17942,0.085,-0.10027,0.74034,0.18095,0.09615,-0.13431,0.71183,Pacifastacus_leniusculus_alien,combined,20
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L20,xgboost,0.15749,0.05919,0.00674,0.60851,0.17754,0.09902,-0.04351,0.65707,0.17295,0.08045,-0.05522,0.54161,Pacifastacus_leniusculus_alien,combined,20
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L3,glm,0.18199,0.06208,-0.04425,0.77427,0.19875,0.11117,-0.09462,0.86817,0.19003,0.07541,-0.0571,0.63936,Pacifastacus_leniusculus_alien,combined,3
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L3,gam,0.17251,0.02904,-0.04935,0.8599,0.18267,0.06207,-0.09406,0.9439,0.19068,0.09802,-0.06985,0.70843,Pacifastacus_leniusculus_alien,combined,3
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L3,random_forest,0.14509,0.11906,-0.22343,1.71228,0.14595,0.09043,-0.15463,0.81869,0.13917,0.0635,-0.14617,0.81897,Pacifastacus_leniusculus_alien,combined,3
Pacifastacus_leniusculus_alien__consensus__combined__lowacc__L3,xgboost,0.11687,0.02659,-0.0105,0.76117,0.12711,0.07277,-0.11285,0.88174,0.12339,0.05616,-0.0737,0.59204,Pacifastacus_leniusculus_alien,combined,3
Pacifastacus_leniusculus_alien__consensus__local_only__benchmark__L0,glm,0.19285,0.06872,-0.04238,0.94079,0.2224,0.07943,-0.11701,0.614,0.21294,0.09936,-0.054,0.5364,Pacifastacus_leniusculus_alien,local_only,0
Pacifastacus_leniusculus_alien__consensus__local_only__benchmark__L0,gam,0.16103,0.03413,0.08933,0.52469,0.20637,0.14351,-0.0014,0.23384,0.17576,0.09637,-0.00366,0.39875,Pacifastacus_leniusculus_alien,local_only,0
Pacifastacus_leniusculus_alien__consensus__local_only__benchmark__L0,random_forest,0.1469,0.11699,-0.20058,1.69614,0.15593,0.09308,-0.17235,0.80606,0.15568,0.09537,-0.21422,0.73296,Pacifastacus_leniusculus_alien,local_only,0
Pacifastacus_leniusculus_alien__consensus__local_only__benchmark__L0,xgboost,0.11774,0.02812,0.06033,0.76008,0.13117,0.06199,-0.13652,0.90303,0.12388,0.0555,-0.05856,0.70283,Pacifastacus_leniusculus_alien,local_only,0
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L10,glm,0.21266,0.09097,-0.05404,0.72711,0.25143,0.11167,-0.03338,0.23919,0.24108,0.106,-0.02569,0.29354,Pacifastacus_leniusculus_alien,local_only,10
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L10,gam,0.1851,0.06897,0.05287,0.26732,0.25341,0.09769,0.00623,0.05054,0.20689,0.13815,-0.03819,0.50411,Pacifastacus_leniusculus_alien,local_only,10
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L10,random_forest,0.15979,0.10512,-0.25568,1.66838,0.16197,0.07847,-0.13725,0.85875,0.15795,0.07488,-0.1473,0.84967,Pacifastacus_leniusculus_alien,local_only,10
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L10,xgboost,0.14485,0.04654,-0.02312,0.68083,0.15794,0.09307,-0.09004,0.80346,0.15254,0.06989,-0.0651,0.48321,Pacifastacus_leniusculus_alien,local_only,10
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L20,glm,0.23303,0.09743,-0.05575,0.5135,0.27027,0.15342,-0.01207,0.08084,0.26305,0.13781,-0.00582,0.0224,Pacifastacus_leniusculus_alien,local_only,20
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L20,gam,0.20057,0.08688,0.06048,0.19083,0.27295,0.0944,-0.00938,0.00777,0.22148,0.13982,0.03724,0.07116,Pacifastacus_leniusculus_alien,local_only,20
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L20,random_forest,0.16522,0.09691,-0.28513,1.60807,0.17606,0.07943,-0.10378,0.77226,0.17333,0.08643,-0.12105,0.75875,Pacifastacus_leniusculus_alien,local_only,20
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L20,xgboost,0.16176,0.05756,0.00373,0.58457,0.18443,0.10199,-0.03917,0.60932,0.17661,0.08844,-0.02786,0.35269,Pacifastacus_leniusculus_alien,local_only,20
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L3,glm,0.19535,0.07801,-0.03998,0.89085,0.21854,0.09096,-0.12269,0.66098,0.20651,0.09844,-0.0129,0.42484,Pacifastacus_leniusculus_alien,local_only,3
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L3,gam,0.16524,0.03758,0.07735,0.49938,0.21368,0.15038,0.00594,0.18115,0.17505,0.07728,0.03287,0.3111,Pacifastacus_leniusculus_alien,local_only,3
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L3,random_forest,0.14769,0.12552,-0.21943,1.72852,0.14835,0.09622,-0.15068,0.80491,0.1408,0.06987,-0.15326,0.82464,Pacifastacus_leniusculus_alien,local_only,3
Pacifastacus_leniusculus_alien__consensus__local_only__lowacc__L3,xgboost,0.12223,0.02669,-0.02461,0.74493,0.13333,0.07107,-0.11671,0.87744,0.12876,0.05505,-0.06799,0.62365,Pacifastacus_leniusculus_alien,local_only,3
Pacifastacus_leniusculus_alien__consensus__upstream_only__benchmark__L0,glm,0.23564,0.07598,-0.06496,0.52929,0.25644,0.05381,-0.04309,0.24923,0.25047,0.13905,-0.06037,0.33141,Pacifastacus_leniusculus_alien,upstream_only,0
Pacifastacus_leniusculus_alien__consensus__upstream_only__benchmark__L0,gam,0.24648,0.09413,-0.09859,0.40927,0.26508,0.12001,-0.03728,0.14012,0.27087,0.15737,-0.03795,0.10438,Pacifastacus_leniusculus_alien,upstream_only,0
Pacifastacus_leniusculus_alien__consensus__upstream_only__benchmark__L0,random_forest,0.16792,0.08631,0.00517,1.52771,0.18053,0.0838,-0.15807,0.81845,0.17552,0.05888,-0.1749,0.80898,Pacifastacus_leniusculus_alien,upstream_only,0
Pacifastacus_leniusculus_alien__consensus__upstream_only__benchmark__L0,xgboost,0.1576,0.07368,-0.08439,0.69973,0.17146,0.08454,-0.11649,0.86257,0.16641,0.09463,-0.10591,0.56993,Pacifastacus_leniusculus_alien,upstream_only,0
Pacifastacus_leniusculus_alien__consensus__upstream_only__lowacc__L10,glm,0.22956,0.0605,-0.03389,0.68928,0.24915,0.04011,-0.06562,0.47362,0.24286,0.12489,-0.11255,0.59159,Pacifastacus_leniusculus_alien,upstream_only,10
Pacifastacus_leniusculus_alien__consensus__upstream_only__lowacc__L10,gam,0.24001,0.07902,-0.0774,0.52314,0.26072,0.09752,-0.03666,0.22249,0.26155,0.10945,-0.03404,0.20595,Pacifastacus_leniusculus_alien,upstream_only,10
