cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Astacus_astacus__consensus__local_only__lowacc__L20,gam,0.20435,0.05167,0.06809,0.70313,0.21403,0.03175,-0.0336,0.84444,0.22182,0.07028,0.01936,0.60749,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L20,random_forest,0.19954,0.03284,-0.13713,0.99356,0.22116,0.09297,0.00495,0.67231,0.24431,0.16262,-0.0518,0.35617,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L20,xgboost,0.22452,0.14183,-0.01429,0.44577,0.2297,0.09242,0.02567,0.60884,0.24127,0.16701,0.00453,0.30357,Astacus_astacus,local_only,20
Astacus_astacus__consensus__local_only__lowacc__L3,glm,0.18509,0.05461,-0.00067,0.85169,0.20486,0.11055,-0.03093,0.70362,0.20369,0.08654,-0.00921,0.64583,Astacus_astacus,local_only,3
Astacus_astacus__consensus__local_only__lowacc__L3,gam,0.18729,0.04758,0.0589,0.73472,0.20371,0.04204,0.01045,0.76046,0.21139,0.07136,0.03432,0.52371,Astacus_astacus,local_only,3
Astacus_astacus__consensus__local_only__lowacc__L3,random_forest,0.16951,0.02254,-0.04596,1.12656,0.19803,0.09323,0.01834,0.68737,0.21357,0.12309,-0.03842,0.51381,Astacus_astacus,local_only,3
Astacus_astacus__consensus__local_only__lowacc__L3,xgboost,0.20808,0.15001,0.03056,0.43269,0.21997,0.10999,0.03336,0.5794,0.226,0.1492,0.01064,0.46289,Astacus_astacus,local_only,3
Astacus_astacus__consensus__upstream_only__benchmark__L0,glm,0.20215,0.05049,0.01559,0.70945,0.22615,0.1016,-0.03511,0.4837,0.21827,0.13989,-0.02919,0.49298,Astacus_astacus,upstream_only,0
Astacus_astacus__consensus__upstream_only__benchmark__L0,gam,0.19252,0.07071,0.03121,0.71001,0.20531,0.09388,-0.03523,0.79694,0.20245,0.11277,-0.04288,0.70222,Astacus_astacus,upstream_only,0
Astacus_astacus__consensus__upstream_only__benchmark__L0,random_forest,0.19211,0.04418,0.15724,1.03471,0.21477,0.11911,-0.03251,0.70888,0.23424,0.18442,-0.00413,0.40438,Astacus_astacus,upstream_only,0
