binning,bin,frac_over,mean_diff,n,entity,entity_dir,track,level,source
bland_altman,3,0.62571,0.01733,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
bland_altman,4,0.69961,0.03543,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,contaminated
benchmark,0,0.45546,-0.00015,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,1,0.4409,-0.00078,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,2,0.30011,-0.00379,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,3,0.29152,-0.00679,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,4,0.33406,-0.00967,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,0,0.43702,-0.00032,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,1,0.44566,-0.0009,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,2,0.30125,-0.00407,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,3,0.2911,-0.00706,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
bland_altman,4,0.34701,-0.00883,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,local_only,20,null
benchmark,0,0.74508,0.00138,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,1,0.6599,0.00277,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,2,0.83715,0.00199,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,3,0.50366,0.00129,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,0,0.737,0.00122,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,1,0.65845,0.00255,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,2,0.55889,0.00304,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,3,1.0,0.00126,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
bland_altman,4,0.87228,0.00187,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,contaminated
benchmark,0,0.4306,-0.00019,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
benchmark,1,0.46638,-0.00019,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
benchmark,2,0.80945,-0.0002,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
benchmark,3,0.46402,-0.00155,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
bland_altman,0,0.42335,-0.00026,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
bland_altman,1,0.46607,-0.00032,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
bland_altman,2,0.48172,-0.00091,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
bland_altman,3,1.0,0.00011,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
bland_altman,4,0.8612,4e-05,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,3,null
benchmark,0,0.84348,0.00281,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
benchmark,1,0.71397,0.00585,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
benchmark,2,0.84033,0.00554,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
benchmark,3,0.50827,0.00319,2599,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
bland_altman,0,0.8323,0.00248,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
bland_altman,1,0.71056,0.00477,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
bland_altman,2,0.56956,0.00707,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
bland_altman,3,1.0,0.00453,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
bland_altman,4,0.87663,0.00579,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,contaminated
benchmark,0,0.39828,-0.00058,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
benchmark,1,0.47985,-0.00098,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
benchmark,2,0.15842,-0.00133,26361,Procambarus clarkii (alien),Procambarus_clarkii_alien,upstream_only,10,null
