algorithm,n_saved,n_new,n_common,max_abs_diff,entity,entity_dir,track,level
glm,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0
gam,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0
random_forest,11872,11872,11872,1.1102230246251563e-16,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0
xgboost,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0
glm,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10
gam,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10
random_forest,11872,11872,11872,1.6653345369377348e-16,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10
xgboost,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10
glm,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20
gam,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20
random_forest,11872,11872,11872,2.220446049250313e-16,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20
xgboost,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20
glm,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3
gam,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3
random_forest,11872,11872,11872,2.220446049250313e-16,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3
xgboost,11872,11872,11872,0.0,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0
random_forest,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3
random_forest,20052,20052,20052,1.1102230246251563e-16,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0
random_forest,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0
random_forest,20052,20052,20052,1.1102230246251563e-16,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10
random_forest,20052,20052,20052,3.3306690738754696e-16,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20
random_forest,20052,20052,20052,2.220446049250313e-16,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20
glm,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3
gam,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3
random_forest,20052,20052,20052,1.1102230246251563e-16,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3
xgboost,20052,20052,20052,0.0,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0
random_forest,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10
random_forest,37449,37449,37449,2.220446049250313e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20
random_forest,37449,37449,37449,2.220446049250313e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3
random_forest,37449,37449,37449,1.1102230246251563e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0
random_forest,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10
random_forest,37449,37449,37449,2.220446049250313e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20
random_forest,37449,37449,37449,3.3306690738754696e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3
random_forest,37449,37449,37449,2.220446049250313e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0
random_forest,37449,37449,37449,1.1102230246251563e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10
random_forest,37449,37449,37449,1.1102230246251563e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20
random_forest,37449,37449,37449,2.220446049250313e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20
glm,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3
gam,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3
random_forest,37449,37449,37449,1.1102230246251563e-16,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3
xgboost,37449,37449,37449,0.0,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3
