entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Astacus astacus,xgboost,upstream_only,lowacc,20,0.6844,0.248,0.2268,0.6921,0.021,0.0409,0.0159,0.0881,30,5.0,2058.0,14562.0,0.7291,0.3246,0.2255,0.6385,-0.0447,-0.0766,0.0012,0.0536
Austropotamobius fulcisianus (pooled),random_forest,combined,benchmark,0,0.8279,0.4154,0.1524,0.9097,,,,,1,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),random_forest,combined,lowacc,3,0.8186,0.4009,0.164,0.9006,0.0279,0.0527,0.0272,0.0991,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0093,-0.0145,0.0116,-0.0091
Austropotamobius fulcisianus (pooled),random_forest,combined,lowacc,10,0.8088,0.395,0.1749,0.8737,0.031,0.0622,0.0305,0.1305,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0191,-0.0204,0.0225,-0.036
Austropotamobius fulcisianus (pooled),random_forest,combined,lowacc,20,0.8006,0.3982,0.1825,0.8824,0.0323,0.0613,0.0283,0.0999,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0273,-0.0172,0.0301,-0.0273
Austropotamobius fulcisianus (pooled),random_forest,local_only,benchmark,0,0.8279,0.4154,0.1524,0.9097,,,,,1,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),random_forest,local_only,lowacc,3,0.8186,0.4009,0.164,0.9006,0.0279,0.0527,0.0272,0.0991,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0093,-0.0145,0.0116,-0.0091
Austropotamobius fulcisianus (pooled),random_forest,local_only,lowacc,10,0.8088,0.395,0.1749,0.8737,0.031,0.0622,0.0305,0.1305,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0191,-0.0204,0.0225,-0.036
Austropotamobius fulcisianus (pooled),random_forest,local_only,lowacc,20,0.8006,0.3982,0.1825,0.8824,0.0323,0.0613,0.0283,0.0999,30,5.0,744.0,12681.0,0.8279,0.4154,0.1524,0.9097,-0.0273,-0.0172,0.0301,-0.0273
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,benchmark,0,0.5311,0.0091,0.2526,0.621,,,,,1,5.0,744.0,12681.0,0.5311,0.0091,0.2526,0.621,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,lowacc,3,0.5212,0.048,0.2517,0.4822,0.0266,0.0383,0.0025,0.2071,30,5.0,744.0,12681.0,0.5311,0.0091,0.2526,0.621,-0.0099,0.0388,-0.001,-0.1387
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,lowacc,10,0.5349,0.0632,0.2507,0.5324,0.0275,0.0496,0.0018,0.1921,30,5.0,744.0,12681.0,0.5311,0.0091,0.2526,0.621,0.0038,0.054,-0.0019,-0.0886
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,lowacc,20,0.539,0.0737,0.2501,0.571,0.0212,0.0333,0.0021,0.2015,30,5.0,744.0,12681.0,0.5311,0.0091,0.2526,0.621,0.0078,0.0645,-0.0025,-0.05
Austropotamobius fulcisianus (pooled),xgboost,combined,benchmark,0,0.8227,0.4076,0.1553,0.5624,,,,,1,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),xgboost,combined,lowacc,3,0.8272,0.4266,0.1651,0.7357,0.0238,0.0554,0.0341,0.1187,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,0.0045,0.0191,0.0098,0.1733
Austropotamobius fulcisianus (pooled),xgboost,combined,lowacc,10,0.8122,0.401,0.1845,0.692,0.0252,0.0546,0.0363,0.1056,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,-0.0105,-0.0065,0.0291,0.1296
Austropotamobius fulcisianus (pooled),xgboost,combined,lowacc,20,0.804,0.4,0.192,0.6972,0.03,0.0591,0.034,0.1276,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,-0.0188,-0.0076,0.0366,0.1348
Austropotamobius fulcisianus (pooled),xgboost,local_only,benchmark,0,0.8227,0.4076,0.1553,0.5624,,,,,1,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,0.0,0.0,0.0,0.0
Austropotamobius fulcisianus (pooled),xgboost,local_only,lowacc,3,0.8272,0.4266,0.1651,0.7357,0.0238,0.0554,0.0341,0.1187,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,0.0045,0.0191,0.0098,0.1733
Austropotamobius fulcisianus (pooled),xgboost,local_only,lowacc,10,0.8122,0.401,0.1845,0.692,0.0252,0.0546,0.0363,0.1056,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,-0.0105,-0.0065,0.0291,0.1296
Austropotamobius fulcisianus (pooled),xgboost,local_only,lowacc,20,0.804,0.4,0.192,0.6972,0.03,0.0591,0.034,0.1276,30,5.0,744.0,12681.0,0.8227,0.4076,0.1553,0.5624,-0.0188,-0.0076,0.0366,0.1348
