model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_median,0.8,0.1542,0.7909,0.6383,0.4292,0.9345,5,Astacus astacus,Astacus_astacus,local_only,3,2058,62
gam,0.7524,0.1745,0.8017,0.5849,0.3866,0.7867,5,Astacus astacus,Astacus_astacus,local_only,3,2058,62
glm,0.74,0.1733,0.8031,0.6105,0.4136,0.7333,5,Astacus astacus,Astacus_astacus,local_only,3,2058,62
random_forest,0.8246,0.1554,0.7472,0.6323,0.3794,0.8139,5,Astacus astacus,Astacus_astacus,local_only,3,2058,62
xgboost,0.7869,0.1917,0.7386,0.6149,0.3535,0.8127,5,Astacus astacus,Astacus_astacus,local_only,3,2058,62
consensus_mean,0.7533,0.1853,0.6177,0.7729,0.3905,0.84,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
consensus_median,0.7572,0.1858,0.6281,0.7631,0.3912,0.8327,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
gam,0.7569,0.1941,0.6486,0.741,0.3895,0.8352,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
glm,0.7219,0.1996,0.6018,0.7515,0.3533,0.6848,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
random_forest,0.7405,0.1877,0.5745,0.7659,0.3404,0.8296,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
xgboost,0.7257,0.2274,0.5556,0.7708,0.3264,0.7188,5,Astacus astacus,Astacus_astacus,upstream_only,0,2058,0
consensus_mean,0.7472,0.1844,0.5617,0.7814,0.3431,0.8764,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
consensus_median,0.7486,0.1846,0.5634,0.7914,0.3548,0.8925,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
gam,0.7362,0.2006,0.5961,0.7592,0.3553,0.8545,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
glm,0.7092,0.1978,0.5438,0.7748,0.3185,0.8709,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
random_forest,0.7272,0.1866,0.5111,0.8139,0.3251,0.8023,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
xgboost,0.7083,0.2106,0.4922,0.8194,0.3117,0.7964,5,Astacus astacus,Astacus_astacus,upstream_only,10,2058,206
consensus_mean,0.6861,0.202,0.5185,0.6855,0.2041,0.84,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
consensus_median,0.69,0.2028,0.528,0.6809,0.2089,0.7891,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
gam,0.6784,0.2107,0.5555,0.6737,0.2292,0.8514,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
glm,0.6645,0.2083,0.5046,0.7001,0.2047,0.8594,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
random_forest,0.6644,0.205,0.4977,0.706,0.2037,0.8023,5,Astacus astacus,Astacus_astacus,upstream_only,20,2058,412
