model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
gam,0.6984,0.207,0.6351,0.662,0.297,0.4405,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
glm,0.6932,0.1976,0.6462,0.6231,0.2693,0.6163,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
random_forest,0.7707,0.1642,0.6147,0.7276,0.3423,0.7653,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
xgboost,0.7903,0.1719,0.6583,0.6665,0.3249,0.1318,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
consensus_mean,0.8472,0.1882,0.7006,0.7382,0.4388,0.8806,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
consensus_median,0.8396,0.1927,0.6961,0.7445,0.4406,0.866,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
gam,0.7736,0.2398,0.6583,0.7013,0.3596,0.7909,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
glm,0.761,0.2228,0.6935,0.656,0.3495,0.777,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
random_forest,0.8495,0.1768,0.6581,0.8023,0.4604,0.8327,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
xgboost,0.8516,0.2034,0.6997,0.7298,0.4295,0.496,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,3,1032,31
consensus_mean,0.7425,0.2183,0.4709,0.9268,0.3978,0.7606,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
consensus_median,0.7338,0.2234,0.4641,0.9324,0.3965,0.7413,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
gam,0.6268,0.3162,0.4147,0.7843,0.199,0.808,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
glm,0.6026,0.269,0.3341,0.7393,0.0735,0.6636,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
random_forest,0.739,0.1994,0.532,0.8961,0.4281,0.8001,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
xgboost,0.7459,0.2113,0.5725,0.8713,0.4439,0.6236,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,0,1032,0
consensus_mean,0.7068,0.2417,0.5641,0.7609,0.3251,0.7481,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
consensus_median,0.7045,0.2455,0.5496,0.766,0.3156,0.6905,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
gam,0.6053,0.3411,0.4078,0.7445,0.1523,0.6269,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
glm,0.5702,0.291,0.3748,0.646,0.0208,0.6085,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
random_forest,0.7057,0.2138,0.5453,0.8095,0.3548,0.7942,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
xgboost,0.706,0.2504,0.6445,0.6986,0.3431,0.5244,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,10,1032,103
consensus_mean,0.6922,0.2076,0.5104,0.7805,0.2909,0.5101,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
consensus_median,0.687,0.2116,0.4896,0.7855,0.2751,0.4664,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
gam,0.5886,0.3046,0.3798,0.7003,0.0801,0.5068,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
glm,0.5737,0.2657,0.4011,0.6404,0.0414,0.5478,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
random_forest,0.7026,0.1864,0.4441,0.8419,0.286,0.6151,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
xgboost,0.7102,0.1971,0.5913,0.7257,0.317,0.18,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,20,1032,206
consensus_mean,0.7376,0.2237,0.4577,0.9149,0.3725,0.6914,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
consensus_median,0.7295,0.2283,0.4535,0.9159,0.3695,0.6809,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
gam,0.589,0.3232,0.449,0.692,0.141,0.6491,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
glm,0.6132,0.2612,0.3555,0.7297,0.0852,0.8309,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
random_forest,0.73,0.2068,0.521,0.879,0.4,0.6525,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
xgboost,0.7337,0.2258,0.5495,0.8658,0.4153,0.4953,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,upstream_only,3,1032,31
consensus_mean,0.7815,0.1909,0.7166,0.7207,0.4373,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
consensus_median,0.7771,0.1926,0.7171,0.7109,0.428,0.9709,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
gam,0.6834,0.2317,0.6583,0.5912,0.2495,0.9661,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
glm,0.6486,0.2345,0.7324,0.4695,0.2019,0.9442,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
random_forest,0.8015,0.1856,0.7027,0.753,0.4557,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
xgboost,0.785,0.1936,0.7108,0.7265,0.4373,0.9636,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,0,3811,0
consensus_mean,0.7565,0.2026,0.7174,0.6467,0.364,0.983,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
consensus_median,0.7545,0.2032,0.7208,0.6429,0.3637,0.9806,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
gam,0.6758,0.2335,0.6423,0.5806,0.2229,0.9806,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
glm,0.6382,0.2376,0.7243,0.4535,0.1778,0.9806,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
random_forest,0.7725,0.1994,0.7098,0.6789,0.3887,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
xgboost,0.7563,0.2109,0.7158,0.6352,0.351,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,10,3811,381
consensus_mean,0.7447,0.2056,0.6967,0.6661,0.3629,0.9927,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
consensus_median,0.7418,0.2063,0.699,0.6605,0.3595,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
gam,0.6728,0.2407,0.6511,0.5708,0.2219,0.9588,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
glm,0.5827,0.2493,0.7145,0.4043,0.1188,0.7479,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
random_forest,0.748,0.2042,0.6741,0.6947,0.3688,0.9879,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
xgboost,0.7442,0.2104,0.6943,0.6703,0.3646,0.9539,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,20,3811,762
consensus_mean,0.785,0.1918,0.7087,0.7161,0.4249,0.9879,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
consensus_median,0.7857,0.1913,0.7339,0.7097,0.4436,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
gam,0.6788,0.2343,0.6368,0.6006,0.2374,0.9758,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
glm,0.6558,0.2327,0.7159,0.4823,0.1982,0.9564,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
random_forest,0.7967,0.188,0.7129,0.7391,0.452,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
xgboost,0.7974,0.1876,0.7284,0.7291,0.4576,1.0,5,Faxonius limosus (alien),Faxonius_limosus_alien,combined,3,3811,114
consensus_mean,0.796,0.1892,0.7058,0.7345,0.4404,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
consensus_median,0.7923,0.1926,0.7305,0.712,0.4425,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
gam,0.7154,0.2185,0.7101,0.6043,0.3144,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
glm,0.6981,0.2241,0.6988,0.5834,0.2822,0.983,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
random_forest,0.7957,0.1876,0.6901,0.7549,0.445,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
xgboost,0.7886,0.1919,0.7158,0.734,0.4498,0.9636,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,0,3811,0
consensus_mean,0.7692,0.2015,0.7158,0.6653,0.3811,1.0,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
consensus_median,0.7669,0.2036,0.7381,0.6457,0.3838,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
gam,0.7062,0.2239,0.6915,0.6014,0.2929,1.0,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
glm,0.6936,0.2272,0.6977,0.5792,0.277,0.9418,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
random_forest,0.7664,0.201,0.7043,0.681,0.3853,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
xgboost,0.7538,0.2115,0.714,0.6478,0.3618,0.9758,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,10,3811,381
consensus_mean,0.7479,0.2031,0.6915,0.6824,0.374,1.0,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
consensus_median,0.7451,0.2053,0.7098,0.6679,0.3777,0.983,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
gam,0.6816,0.2264,0.6853,0.5867,0.272,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
glm,0.6734,0.2267,0.706,0.5468,0.2529,0.9612,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
random_forest,0.7472,0.2047,0.6688,0.6941,0.3629,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
xgboost,0.7412,0.213,0.6878,0.6689,0.3567,0.9879,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,20,3811,762
consensus_mean,0.7866,0.1927,0.7253,0.7136,0.4389,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
consensus_median,0.7799,0.1958,0.7263,0.7019,0.4282,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
gam,0.6995,0.2213,0.6972,0.6023,0.2995,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
glm,0.6826,0.2263,0.6959,0.5666,0.2625,0.9855,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
random_forest,0.7951,0.1887,0.7158,0.7352,0.451,0.9927,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
xgboost,0.7937,0.1904,0.7197,0.7262,0.4459,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,local_only,3,3811,114
consensus_mean,0.7295,0.2106,0.5471,0.8102,0.3573,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
consensus_median,0.7246,0.2125,0.5377,0.8117,0.3493,0.983,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
gam,0.6411,0.2406,0.4825,0.7479,0.2304,0.8618,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
glm,0.6131,0.2414,0.4143,0.7862,0.2005,0.7773,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
random_forest,0.7373,0.2051,0.5466,0.817,0.3636,0.9952,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
xgboost,0.7338,0.2111,0.5555,0.8121,0.3676,0.9612,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,0,3811,0
consensus_mean,0.7065,0.2176,0.5188,0.788,0.3067,0.9782,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
consensus_median,0.7038,0.2189,0.5096,0.7924,0.302,0.9733,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
gam,0.6253,0.2431,0.4432,0.755,0.1982,0.9127,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
glm,0.5993,0.2431,0.3889,0.779,0.1679,0.7697,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
random_forest,0.7194,0.2119,0.53,0.7877,0.3177,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
xgboost,0.7098,0.2198,0.5332,0.7785,0.3117,0.9733,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,10,3811,381
consensus_mean,0.6888,0.2208,0.4756,0.8,0.2756,0.9927,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
consensus_median,0.6865,0.2222,0.4699,0.805,0.275,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
gam,0.6124,0.2452,0.3949,0.779,0.1739,0.84,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
glm,0.5983,0.2434,0.4467,0.6893,0.136,0.6485,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
random_forest,0.6965,0.2163,0.4857,0.805,0.2906,0.9733,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
xgboost,0.687,0.2228,0.4777,0.7905,0.2682,0.9636,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,20,3811,762
consensus_mean,0.7334,0.2108,0.5644,0.8001,0.3645,0.9976,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
consensus_median,0.7275,0.2131,0.555,0.8042,0.3592,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
gam,0.6401,0.2395,0.4815,0.7438,0.2253,0.9127,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
glm,0.616,0.2415,0.4193,0.7824,0.2018,0.9145,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
random_forest,0.7436,0.2049,0.5699,0.798,0.368,0.9903,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
xgboost,0.7391,0.2075,0.572,0.7966,0.3686,0.9806,5,Faxonius limosus (alien),Faxonius_limosus_alien,upstream_only,3,3811,114
consensus_mean,0.8731,0.1411,0.8387,0.7252,0.564,0.9976,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
consensus_median,0.8673,0.1433,0.8351,0.7133,0.5484,0.9976,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
gam,0.7812,0.1832,0.7995,0.6137,0.4132,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
glm,0.7318,0.1949,0.7953,0.5853,0.3806,0.9345,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
random_forest,0.8829,0.1435,0.8121,0.7844,0.5965,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
xgboost,0.891,0.123,0.839,0.7867,0.6257,0.9976,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,0,4171,0
consensus_mean,0.8388,0.1576,0.8072,0.6883,0.4954,0.9733,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
consensus_median,0.8341,0.159,0.8005,0.6878,0.4883,0.9515,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
gam,0.7529,0.1939,0.7484,0.6086,0.357,0.9224,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
glm,0.7085,0.206,0.7685,0.5891,0.3576,0.903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
random_forest,0.8486,0.1568,0.7932,0.7218,0.515,0.9976,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
xgboost,0.8562,0.1475,0.8158,0.6941,0.5099,1.0,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,10,4171,417
consensus_mean,0.8168,0.1694,0.7861,0.6782,0.4643,0.9442,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
consensus_median,0.8133,0.1705,0.7833,0.6755,0.4588,0.9224,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
gam,0.7383,0.2039,0.7378,0.5925,0.3303,0.8109,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
glm,0.7128,0.2094,0.7312,0.5944,0.3256,0.9103,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
random_forest,0.8331,0.1683,0.7906,0.6888,0.4794,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
xgboost,0.8262,0.1677,0.7946,0.6916,0.4861,0.9345,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,20,4171,834
consensus_mean,0.8651,0.1427,0.8377,0.716,0.5537,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
consensus_median,0.8599,0.1442,0.8317,0.7047,0.5364,0.9758,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
gam,0.778,0.1813,0.7779,0.6062,0.3841,0.8812,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
glm,0.7442,0.1906,0.7988,0.599,0.3979,0.9127,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
random_forest,0.8781,0.1443,0.8208,0.7586,0.5795,0.9927,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
xgboost,0.8835,0.1256,0.843,0.7535,0.5965,0.9952,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,combined,3,4171,125
consensus_mean,0.8776,0.1428,0.8708,0.7167,0.5875,0.9927,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
consensus_median,0.8753,0.1421,0.8636,0.7227,0.5863,0.9927,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
gam,0.7718,0.1771,0.8703,0.5432,0.4135,0.9752,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
glm,0.698,0.2081,0.7761,0.4849,0.261,0.7309,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
random_forest,0.8792,0.147,0.8133,0.7868,0.6001,0.9879,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
xgboost,0.8867,0.1269,0.8384,0.7732,0.6116,0.9952,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,0,4171,0
consensus_mean,0.8422,0.1619,0.8417,0.6361,0.4778,0.9782,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
consensus_median,0.8375,0.1633,0.8345,0.6454,0.48,0.983,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
gam,0.7325,0.1981,0.832,0.5216,0.3536,0.9661,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
glm,0.6717,0.2212,0.7489,0.4506,0.1995,0.6727,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
random_forest,0.8476,0.158,0.7936,0.7119,0.5055,0.9976,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
xgboost,0.8511,0.1497,0.8073,0.6972,0.5045,0.9879,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,4171,417
consensus_mean,0.8158,0.1787,0.8216,0.631,0.4526,0.9345,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
consensus_median,0.8073,0.1822,0.8175,0.6364,0.4539,0.9321,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
gam,0.7209,0.2139,0.7918,0.5553,0.3471,0.9006,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
glm,0.6322,0.2409,0.7354,0.4251,0.1605,0.76,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
random_forest,0.8311,0.1687,0.8047,0.676,0.4807,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
xgboost,0.8225,0.1715,0.7819,0.6932,0.4751,0.9539,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,4171,834
consensus_mean,0.8681,0.1457,0.8675,0.6617,0.5292,0.9782,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
consensus_median,0.8632,0.1451,0.858,0.6652,0.5232,0.9855,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
gam,0.7522,0.1789,0.8554,0.4918,0.3472,0.9436,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
glm,0.6847,0.2072,0.7733,0.4554,0.2287,0.8133,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
random_forest,0.8723,0.147,0.818,0.7579,0.5759,0.9879,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
xgboost,0.8767,0.1305,0.8345,0.7431,0.5776,0.9952,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,4171,125
consensus_mean,0.8024,0.1821,0.6475,0.8296,0.4772,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
consensus_median,0.7978,0.1852,0.6366,0.8274,0.464,0.9855,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
gam,0.6731,0.2423,0.6182,0.6634,0.2815,0.8909,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
glm,0.6537,0.2356,0.5363,0.7491,0.2854,0.8133,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
random_forest,0.8145,0.1715,0.6477,0.8576,0.5053,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
xgboost,0.8239,0.1648,0.6673,0.8457,0.5131,0.9588,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,0,4171,0
consensus_mean,0.7791,0.1866,0.6022,0.8208,0.423,0.9806,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
consensus_median,0.7764,0.1886,0.6366,0.7619,0.3986,0.9879,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
gam,0.657,0.2376,0.5843,0.6573,0.2416,0.8836,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
glm,0.6331,0.2315,0.601,0.5503,0.1513,0.823,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
random_forest,0.7938,0.1782,0.6106,0.8484,0.459,0.9927,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
xgboost,0.7981,0.1766,0.6546,0.7833,0.4379,0.9418,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,10,4171,417
consensus_mean,0.758,0.1959,0.6255,0.7402,0.3657,0.9588,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
consensus_median,0.7532,0.1974,0.6226,0.7412,0.3638,0.9661,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
gam,0.6413,0.2408,0.5788,0.6381,0.217,0.9442,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
glm,0.6162,0.2352,0.724,0.3847,0.1087,0.8327,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
random_forest,0.769,0.1889,0.5827,0.8199,0.4026,0.963,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
xgboost,0.7711,0.1928,0.6356,0.7621,0.3977,0.9297,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,20,4171,834
consensus_mean,0.7942,0.1798,0.6378,0.8126,0.4504,0.9927,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
consensus_median,0.7868,0.183,0.6282,0.8085,0.4367,0.9952,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
gam,0.6598,0.2378,0.6183,0.6395,0.2577,0.8303,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
glm,0.6504,0.229,0.5864,0.6572,0.2436,0.8133,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
random_forest,0.8133,0.17,0.6414,0.8536,0.4951,0.9903,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
xgboost,0.8171,0.1645,0.6876,0.784,0.4715,0.937,5,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,upstream_only,3,4171,125
consensus_mean,0.8067,0.1723,0.7119,0.7473,0.4592,0.9903,5,Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,combined,0,1496,0
